0,352,,
-23.11081,328.8892,328.88919,0.00001
-18.33256,310.6674,310.55664,0.11076
-15.31482,295.6852,295.35258,0.33262
-13.06739,282.9326,282.61781,0.31479
-11.26073,271.7393,271.67187,0.06743
-9.742116,262.2579,261.997184,0.260716
-8.42755,253.5724,253.83035,-0.25795
-7.265666,246.7343,246.306734,0.427566
-6.222622,240.7774,240.511678,0.265722
-5.274903,235.7251,235.502497,0.222603
-4.405462,231.5945,231.319638,0.274862
-3.60153,228.3985,227.99297,0.40553
-2.853286,225.1467,225.545214,-0.398514
-2.153003,222.847,222.993697,-0.146697
-1.494493,221.5055,221.352507,0.152993
-0.8727127,221.1273,220.6327873,0.4945127
-0.2835011,220.7165,220.8437989,-0.1272989
2.72,224.72,223.4365,1.2835
4.08,229.08,228.8,0.28
5.44,234.44,234.52,-0.08
6.8,240.8,241.24,-0.44
8.16,249.16,248.96,0.2
9.52,258.52,258.68,-0.16
10.88,269.88,269.4,0.48
11,281,280.88,0.12
11,292,292,0
11,303,303,0
11,314,314,0
11,325,325,0
11,336,336,0
11,347,347,0
11,358,358,0
11,363,369,-6
